canton,2012_01_tweets,2012_02_tweets,2012_03_tweets,2012_04_tweets,2012_05_tweets,2012_06_tweets,2012_07_tweets,2012_08_tweets,2012_09_tweets,2012_10_tweets,2012_11_tweets,2012_12_tweets,2013_01_tweets,2013_02_tweets,2013_03_tweets,2013_04_tweets,2013_05_tweets,2013_06_tweets,2013_07_tweets,2013_08_tweets,2013_09_tweets,2013_10_tweets,2013_11_tweets,2013_12_tweets,2014_01_tweets,2014_02_tweets,2014_03_tweets,2014_04_tweets,2014_05_tweets,2014_06_tweets,2014_07_tweets,2014_08_tweets,2014_09_tweets,2014_10_tweets,2014_11_tweets,2014_12_tweets,2015_01_tweets,2015_02_tweets,2015_03_tweets,2015_04_tweets,2015_05_tweets,2015_06_tweets,2015_07_tweets,2015_08_tweets,2015_09_tweets,2015_10_tweets,2015_11_tweets,2015_12_tweets,2016_01_tweets,2016_02_tweets,2016_03_tweets,2016_04_tweets,2016_05_tweets,2016_06_tweets,2016_07_tweets,2016_08_tweets,2016_09_tweets,2016_10_tweets,2016_11_tweets,2016_12_tweets
AG,341,354.0,418,1258,4343,5307,3952,4796,2563,5145,4806,4876,5502,4050,4943,4937,6731,7147,No Data,No Data,1568,4856,6382,8906,7844,6695,7303,5695,5980,6757,7668,7533,5472,1361,4605,3023,4084,3684,1552,2356,8998,7614,6584,6633,5155,11081,22791,6513,5738,5652,5516,5951,8483,7111,7116,5124,3261,No Data,No Data,No Data
AI,2,No Data,1,30,256,83,95,69,24,28,65,28,50,40,66,62,74,71,No Data,No Data,34,66,46,35,23,51,59,59,220,149,100,186,120,11,75,40,26,40,14,14,84,76,197,112,105,38,142,140,56,22,105,84,107,139,162,76,29,No Data,No Data,No Data
AR,8,4.0,21,155,223,246,178,162,82,300,290,372,93,79,132,137,179,399,No Data,No Data,66,189,174,305,401,181,158,409,82,267,360,489,116,30,65,233,259,489,39,72,184,190,163,526,112,77,264,238,207,231,285,253,327,221,179,64,41,No Data,No Data,No Data
BE,860,956.0,1243,3871,10727,11479,12195,13405,6410,11431,10076,11429,11983,9348,11466,12179,15194,15695,No Data,No Data,3936,12524,11771,14458,13335,14166,15315,15279,14043,15484,15493,24987,16226,10122,21781,22199,21683,9948,3803,4267,17520,13362,19997,23164,10922,4314,14603,15789,17158,13874,15409,16238,17856,19185,20934,12672,7100,No Data,No Data,No Data
BL,32,46.0,58,594,1773,2180,1505,2313,1015,1971,2586,2734,2175,1842,1546,2195,2844,2667,No Data,No Data,583,2554,2647,4181,4501,2561,2572,2013,1839,3727,4273,3591,2398,681,1963,2058,1189,980,500,707,2340,2257,1715,2678,1897,762,2261,2793,2608,1999,2411,2350,2307,2194,1830,1141,983,No Data,No Data,No Data
BS,293,216.0,235,1110,3225,4826,4065,4551,2805,4301,4579,4102,4346,3753,3887,4552,4301,4392,No Data,No Data,1025,4102,3985,4770,3892,3436,5210,4568,3757,4703,4352,3884,3976,1774,3503,2905,3512,2250,747,774,3972,4717,3605,4362,3246,1481,3165,3127,3361,3678,6524,4077,5958,6647,4579,2316,1741,No Data,No Data,No Data
FR,70,82.0,92,3064,6966,5758,5881,4997,4124,10466,9332,11117,12991,8840,10879,11978,15357,10365,No Data,No Data,2353,7697,11575,19010,14329,10418,10961,9562,8499,9685,11307,12570,5873,1613,6181,4374,4382,3199,1017,1683,5392,5373,4495,5775,5296,1259,5521,4602,3627,4546,4515,3931,4664,5089,4425,2717,1944,No Data,No Data,No Data
GE,909,1135.0,1277,7586,24361,26560,23676,28971,15587,36863,56501,69510,109975,95041,136981,132113,152630,124215,No Data,1.0,34752,93136,88062,110313,93868,85185,78979,68572,77771,93138,74808,85553,62323,18188,42898,39521,43885,23332,11715,9884,36355,36805,36690,42440,27035,9638,35637,33687,34007,26057,36143,34858,36548,37895,31333,18296,11498,No Data,No Data,No Data
GL,21,4.0,12,137,481,273,380,363,174,410,428,534,370,578,800,704,853,438,No Data,No Data,65,168,139,2063,2210,106,232,493,342,237,187,537,826,523,2459,2209,750,795,445,284,1412,871,479,894,708,88,99,101,135,104,152,92,124,103,123,64,45,No Data,No Data,No Data
GR,554,356.0,375,679,2096,1683,3270,3168,881,1924,1831,3751,5343,3801,3193,2612,2199,2818,No Data,No Data,810,2088,1379,8601,10055,3870,3532,2178,2098,2530,3122,4040,1791,417,1736,2959,6542,3861,1509,171,835,2368,2827,4081,1634,605,1820,3759,6744,3466,4688,2149,2079,2715,4908,2322,934,No Data,No Data,No Data
JU,4,6.0,19,682,1362,1542,3706,1928,919,1541,2015,1222,1577,1292,1777,1270,1135,818,No Data,No Data,348,1501,1384,2420,2309,1423,1165,935,864,954,1175,881,860,459,853,2275,2149,1187,581,150,509,450,823,713,449,232,707,623,445,1067,1133,1135,656,845,682,346,231,No Data,No Data,No Data
LU,193,287.0,398,1251,3542,2769,3836,3980,1894,4298,4113,3431,4762,3787,4158,4921,6685,5088,No Data,No Data,1563,4120,3908,6780,7032,6578,6821,6010,5487,5984,9314,8906,5371,1478,4450,6804,4410,3588,1404,1543,5039,4679,4627,7455,3593,1110,4108,4854,4609,4646,10012,5432,5795,5836,5522,2828,4055,No Data,No Data,No Data
NE,134,217.0,116,650,2001,3195,2388,3712,2550,6598,10238,14849,19390,17298,25472,23149,21547,19268,No Data,1.0,5116,14723,14250,15626,14303,12225,12961,10562,14123,11909,8350,13521,12840,2586,6510,5721,6613,3799,1420,1709,6444,6933,3660,5841,4088,1429,4697,3750,4842,3868,4682,5248,4870,4665,3453,2403,2096,No Data,No Data,No Data
NW,9,9.0,5,94,329,321,289,424,296,804,866,1501,1070,857,882,532,1070,1301,No Data,No Data,198,457,278,2090,2527,641,668,587,704,1123,1111,572,362,118,337,392,411,265,53,86,370,594,733,670,439,208,479,625,364,204,353,382,622,826,635,280,209,No Data,No Data,No Data
OW,14,31.0,40,381,548,952,922,689,234,293,464,569,599,726,905,832,807,759,No Data,No Data,431,1601,1453,1656,1336,1298,1466,1358,1792,2019,2880,1710,1088,406,3285,6681,4378,4409,1666,1420,4496,5627,4218,6697,4439,1903,9133,5945,6069,3944,3439,4064,3975,3425,3842,2064,1257,No Data,No Data,No Data
SG,206,309.0,277,865,2555,2321,2813,3024,1571,3875,4473,4230,4107,3120,4145,4175,4713,4541,No Data,No Data,1677,4447,4011,8166,8050,4159,3670,4937,3722,5536,4212,4766,4653,1050,4208,2530,2777,2478,882,1064,4610,3415,3555,3672,1700,2201,4001,3295,3674,3600,3647,3130,4150,4596,4438,2685,1610,No Data,No Data,No Data
SH,8,10.0,11,122,427,278,270,592,174,503,281,378,357,255,823,1427,361,414,No Data,No Data,114,1621,1132,2743,2997,1022,685,587,604,670,1010,894,603,80,500,895,1119,668,47,86,531,325,590,1185,552,117,563,659,773,392,698,773,1223,2540,1496,805,229,No Data,No Data,No Data
SO,102,87.0,97,1667,1483,1857,1628,1645,1028,2342,1985,2119,2106,1915,1805,2250,2880,2368,No Data,No Data,599,1564,1596,4094,4388,2459,2421,2390,2433,2844,2817,3535,2603,619,1669,1204,1749,1033,475,706,2819,2746,3979,3588,2224,481,1897,2134,2410,5310,2430,2096,2340,2448,2503,949,685,No Data,No Data,No Data
SZ,52,38.0,49,177,613,519,711,854,456,831,1010,628,1011,632,646,595,1739,2025,No Data,No Data,261,699,606,1548,1445,561,545,473,877,632,918,747,589,225,508,1012,702,387,227,100,651,609,937,1743,478,195,960,664,632,632,1145,785,1243,1026,1281,1023,349,No Data,No Data,No Data
TG,35,31.0,23,1067,3014,2016,1194,1841,815,1812,2621,2985,1956,2207,1536,2112,3207,2174,No Data,No Data,572,1680,1619,3475,2853,2688,3246,2384,2987,2253,5260,6364,2061,642,2912,3922,2650,593,287,1341,3298,1087,1451,1983,861,258,1186,1294,1543,1353,1222,2074,2076,1961,2494,1632,441,No Data,No Data,No Data
TI,180,162.0,210,3071,10907,10957,11845,12511,5591,10800,14575,15541,12247,8667,12125,7055,9449,9406,No Data,No Data,4303,8449,7576,9665,7909,8850,7602,7454,8939,8107,10769,14861,7618,3014,8222,7578,7255,4522,1878,1636,7225,5409,7258,7743,4730,1798,6794,7373,7301,6249,7467,7654,7408,8573,7233,4910,2548,No Data,No Data,No Data
UR,26,48.0,23,34,244,168,294,361,164,203,139,143,259,164,333,382,316,634,No Data,No Data,70,126,139,597,846,198,217,173,171,547,346,344,517,492,757,200,97,126,48,66,99,235,348,377,243,53,134,181,228,203,260,256,228,469,404,465,95,No Data,No Data,No Data
VD,943,859.0,1059,5841,16373,18773,22139,25505,15303,35109,42619,36079,36359,30556,39507,43274,44299,39614,No Data,No Data,11722,33206,35610,44449,36713,34966,36559,33235,34676,42481,37011,36833,32219,10107,29257,22743,21748,12803,5434,5686,19883,18340,21965,24406,18833,7766,19746,18108,17051,17422,19789,20770,20464,24829,25404,12087,8116,No Data,No Data,No Data
VS,490,423.0,479,2183,7299,7447,7503,9847,4848,10366,9796,13841,16030,13164,17858,21343,16325,16801,No Data,No Data,3705,12294,11703,21342,16428,14490,16831,14519,13650,15523,16752,17797,11384,2830,9013,10599,10428,8452,3136,2228,9769,10678,12694,13372,6501,2856,9475,10799,11284,10492,10180,9625,8418,8951,11153,6886,2948,No Data,No Data,No Data
ZG,84,446.0,334,426,1473,1227,1333,1385,703,1102,1319,1048,1125,1180,1207,1260,1406,1223,No Data,No Data,344,1088,1563,1914,1901,2980,2797,3308,2863,2030,1492,1776,1299,653,1420,1358,1332,1012,387,444,1613,1880,1271,1845,1316,466,1512,1197,1411,1828,2968,1865,1614,2215,1473,944,746,No Data,No Data,No Data
ZH,2464,2473.0,2865,8354,25928,25581,27428,30072,15824,27182,27910,24943,30309,27176,28954,25058,32016,28894,No Data,No Data,11438,28973,31223,34487,30971,30421,36196,30103,33863,35193,34981,37526,30763,10739,27451,24776,28708,25231,8452,8525,31227,30405,31907,37947,24047,10004,37686,31113,30738,28878,32473,31759,33972,37351,37643,18995,12438,No Data,No Data,No Data
