canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,-0.03528490085531956,-0.0417711708858742,-0.03161359546699223,-0.020048509682238994,-0.010707852270142907,0.02359900902345146,-0.004218096682543699,0.0162378846990736,-0.008237141231976147,0.04078942772398894,0.028009442705078956,0.03550477972503828,0.03594786329067003,0.013565863432186185,0.014128228931726543,0.002223649135996832,-0.000906107226940085,-0.00548268659085533,No Data,No Data,0.027852712674252482,0.03206068518340172,0.01651389948884762,0.00186489739048941,0.012539033998615152,0.01965470691492523,0.008084461565561803,0.008737050106893456,0.005005214173743744,-0.005513573150406873,0.0056347224950121415,0.003942409821621931,0.016453145246527953,0.0006836413824090318,-0.015305902188812635,0.009006494441698149,0.006419914175247245,0.03380834659055903,0.0018439901365487645,-0.05343099108310352,0.015457041317310941,-0.03668957331151781,-0.006588926917238987,-0.0036663567790528205,-0.015146552216888935,-0.08336617992009056,0.41563314464866313,0.018306099824702538,0.027262400380760856,0.012170517580496318,0.03205163483035318,0.011568331726144354,-0.01578101911434353,-0.010787162840754337,-0.0035731046459873896,-0.011523250398650094,-0.019174668345047358,No Data,No Data,No Data
AI,-0.04716970334248016,No Data,-0.09372742701006016,-0.0277085874117351,-0.02590746460653503,-0.012301029709948575,0.00011705779666581978,0.125834930423411,0.042505339055978905,0.007391074932916046,-0.09275713464452574,0.07435357600359442,0.035037281987176226,0.006793607626229194,-0.006813360212548337,0.1116499584857498,0.05175464631474812,0.03133794031096172,No Data,No Data,0.19257862340749413,-0.03968801709497993,-0.005126037915269569,-0.005805007284072202,0.09997494939394667,0.060059556865161304,0.000505490130854542,0.13008100314578094,0.054697596026531486,-0.017341819543459026,0.042263656426804574,0.16713519901206997,0.13309984157843133,0.16380873202535276,0.27724911564456095,0.16400879104291502,0.07533481192967934,0.07624056222913514,0.13806792486753927,0.01032341551691471,0.12239633687004073,0.11731519773212479,0.03198143060629063,-0.023412791575823964,-0.019276874092298224,-0.13023303279761372,-0.10749165192830437,-0.021688564545699392,-0.02480815954450616,0.09378370911228238,0.0571257802475237,0.037968230014587954,0.022094617094731123,0.05496942077985534,-0.016535552159618244,0.017791746058280662,-0.04927544325827463,No Data,No Data,No Data
AR,-0.0300580247374374,-0.17796238121268912,-0.06617220908149275,-0.033025956216231486,-0.04131184904554707,-0.014018158248334626,-0.05104974442808431,-0.035221997965848226,-0.036665877681529374,-0.010606651258008888,-0.05639499866018011,0.0560128324885758,-0.011864956116810087,0.03267991048788827,-0.03146085942836761,-0.012382198462253944,-0.0384077855402327,-0.02170749093317566,No Data,No Data,0.050088399810791204,-0.0620867408569021,-0.04841301903880726,0.011705726570390993,0.03677109331959409,0.04894895636479497,0.02770786117497582,0.07427724444437284,0.004256690807280222,0.0502426323692116,0.03344253744673743,0.03907861147295644,-0.033229236708330646,0.031162512059139297,-0.014775718473594556,0.030802018487612593,0.026955369957509096,0.0666530762451765,-0.024640527933755714,0.05000154915173271,0.02663869493327058,-0.021946222733328035,0.00521275647163622,-0.0013989292800704305,-0.03368212024747953,-0.03622457624070171,-0.009245039059272372,-0.022831329639692182,-0.015542935625277397,-0.025460914642367116,-0.015839025217137502,-0.021210822399284932,0.0028614454166041125,-0.014207818846331512,-0.027991754974181285,-0.04986098990896455,-0.05505476310464642,No Data,No Data,No Data
BE,-0.03464573547680989,-0.04757434279856668,-0.03943673951500859,-0.012024793414233473,0.005920167534103515,0.019160402265090224,0.012263893956563519,0.00913772815063326,-0.0044715922121243345,-0.002904073387500271,-0.000500816734034211,0.020887421525479902,0.01830805504917366,0.012816020141160978,0.02050836748643524,0.044492070772277306,0.007073063166624099,0.013453984441850165,No Data,No Data,0.013192558017669963,0.027189029012665962,0.009235819214409472,0.00892728474468745,0.01715941550574929,0.022244208856039033,0.018663511575651034,0.010527730608394913,0.0014530029514923846,0.0038400657414209777,0.012751758872638363,0.015238977685902936,0.0142354810242282,0.04046878405814145,0.04325306516566305,0.04241806220820722,0.03505714288852891,0.013311343754380048,0.01288514801199418,0.024902688138995228,0.0119148607231574,0.0058554809092759615,0.007837810122354079,0.007024889444731665,0.020578908103277175,0.01861167492907573,0.01386207677850159,0.011083173892091524,0.007962835815943122,0.006328673669944325,0.007909396923716106,0.00209679764487157,0.006014946958394632,0.015991753471124994,0.006673545378932058,-0.000947618596091977,0.0019737421880230473,No Data,No Data,No Data
BL,0.08615358746575538,-0.024583813635483558,-0.025673796779219504,-0.01920524069158891,-0.003263288020027411,-0.0006072213115022011,0.006420998066744437,-0.00219805368054665,-0.006185335085863412,0.0013778874556419753,-0.0068026132820592404,-0.007145595942201491,0.008909641771506058,0.012640802297700059,0.010547339385478402,0.011424275176702307,0.022961935869298032,-0.0016205638634923848,No Data,No Data,0.0270100607139608,0.026656753385165776,0.021088708860425482,-0.026212841545543295,-0.005954135954955154,0.017013319515900068,0.013242509277872324,0.006719885641815898,0.009427681093756173,-0.006036743401995236,0.00723387250184495,-0.012769754987954806,-0.017643719943311462,-0.019019638928627094,-8.58407342118301e-06,0.0051731123839427245,0.005258781329031829,0.002614478606582313,-0.0035050207795473947,-0.008394256517605829,0.01028730398730278,-0.008942761785194346,0.003039965032372332,-0.005097354117655804,-0.007550722048984846,0.009186119967491023,0.023709722227455588,-0.0063415241762193875,0.00702578007036712,0.005176567606444648,-0.004036978128465361,0.009544090783444549,0.03360477066568013,0.018223105686685385,0.04319522924215231,0.018811435845840684,0.01424060726407489,No Data,No Data,No Data
BS,0.11611118456174356,0.16244333651501763,0.1106864232265115,-0.003453440767710834,-0.012983219127857245,-0.008432012707336132,0.007564411628765733,0.02409449619170997,0.03953973491987126,0.0026549909089807087,-0.0027356068014054943,-0.00340545109594026,0.007507845017653301,0.00391448367452207,0.011407741963479543,0.025188440553445577,-0.0041588499739796435,0.018487660509899397,No Data,No Data,0.0005103419873169857,0.03935593113743299,0.02957108329449098,0.002768088006356448,0.0034334281561394023,0.003399949304825346,0.03126449251714431,0.01635543297441364,0.047124935072733645,0.0467667810104735,0.017428813389873888,0.009332607171372197,-0.0011426927413843227,0.012049811931968857,0.0231526801763991,0.04280106788462514,0.023655294753059986,0.04442544736792765,0.028284909051891613,0.025964525181311125,0.012783199990063334,0.023269936667890918,-0.009473702200082309,0.0196181408109578,0.023326474606280446,0.0034488655927566157,0.020020163544333256,-0.006897312585195796,-0.006159424061487812,0.017779655243644055,0.04769826475492551,0.02783827852630319,0.04338036229821732,0.057299843689464496,0.05360600428077337,0.06579997215055301,0.04636250569134572,No Data,No Data,No Data
FR,0.007684404936826642,-0.04827754340575876,-0.006264710946031785,0.022819053945874572,0.038592262872698145,0.026774908107557928,0.045400792827211774,0.04184377409096652,0.05636164348234924,0.05914834028037237,0.06540188757025946,0.07413431705108871,0.047077940959517756,0.04643019386588626,0.039333142844270384,0.05269940479018626,0.05265759363673235,0.04647031936288099,No Data,No Data,0.0539791635848662,0.058611791996601444,0.035981923214202405,0.020863368528342068,0.027204664295455327,0.04458264837608805,0.032932761209649886,0.03724975042048794,0.048623415285195565,0.036236738193511024,0.024323653162515106,0.026068078614200667,0.03833648427902712,0.037457123570167485,0.036991222242865066,0.024573275776294583,0.04809921281107714,0.046788644045981195,0.04614866659692293,0.03294536976703254,0.04166853838895666,0.040902102650085384,0.024167157289726186,0.021146875531444783,0.03007759243020486,0.03430292083244772,0.03448242126102982,0.051280602270129955,0.0564486244541283,0.04602775113673366,0.039611248903048596,0.032956796930322566,0.03467434774821671,0.049181606320894154,0.05010490369375689,0.05081343990436076,0.037988417155648144,No Data,No Data,No Data
GE,0.03985177918521125,0.05370584918302839,0.056563642050207384,0.057933379744472255,0.050176964504706496,0.04409991986290148,0.06082969189529393,0.06957390028361111,0.06382436348451503,0.05343109010931863,0.06683036255354767,0.06201578644052917,0.03811519932806851,0.026428902213762567,0.028693192279721984,0.02603309416482523,0.06323540562255639,0.07691419002995553,No Data,No Data,0.0691657744081271,0.07127643168581672,0.05168890392203724,0.04849388527038653,0.04896076593487172,0.055693236392416995,0.06837284746364174,0.06623603405583917,0.07247496479966205,0.06826800268343534,0.04581654778807265,0.025812866356155317,0.030128613755998453,0.03978562088863239,0.043533973582341595,0.039546408492282574,0.04018141187316161,0.04317685906736315,0.06751326381768163,0.05222968253983749,0.053593534684974055,0.05597237548284012,0.04316957125744811,0.03665665234252435,0.049224017836878735,0.052631361452429866,0.051654409267110526,0.04427627223708292,0.05044418586291918,0.060272467873966395,0.06716671749458883,0.05212952039960631,0.05640506282032004,0.05506178712664067,0.051869893569031794,0.04185676747058681,0.05756690946931288,No Data,No Data,No Data
GL,-0.07717816151142441,-0.08006959624824768,-0.0785703364057486,-0.005473658978618213,0.015519487802072778,0.01940729994963678,-0.000440637208272941,0.005590159044641693,0.003100944555347287,0.02130738500118082,0.028810723131374835,0.06565828191027524,0.01589845632138191,0.01550375132940046,-0.026891946662870612,0.02693344359864755,0.03176910044478832,0.019490784548393595,No Data,No Data,0.04640680054251559,0.009877162412692878,0.04237013282125693,-0.04969929615410782,0.003706246584888253,0.10479319837832143,0.025985639326409706,0.07120172755008894,0.0543619449891773,0.004140551186008673,0.0180601241502694,0.05883208810631679,0.0350616194005701,0.02339277741055931,-0.012470457231999939,-0.004466712779610537,-0.01014918710425681,0.011752635062654426,-0.00296172890098992,-0.0011633216449486586,0.007346105122941532,0.001952574190999313,-0.0022592743412629163,-0.007606772570197383,0.01748295746226354,-0.059893639394811786,0.0007249746268408898,-0.024957312252564128,-0.041283356452213475,-0.007336953400472284,0.02566399843689124,0.005064515652161542,-0.018905725746226117,-0.019012462494586695,-0.041995561683983926,-0.04107475801745355,-0.026274959584289163,No Data,No Data,No Data
GR,0.03252100200181841,0.06179827243327131,0.23556973585512275,0.10834707221747297,0.055689613457694215,0.09422641445272394,0.03640984123529593,0.07697546208504653,0.026082355714969734,0.0023941767480913,0.054415955855100034,0.058939314844462846,0.06521122522705071,0.03217434168948577,0.03455144406190437,-0.009462209367132489,0.007538999982752561,0.010944524054406844,No Data,No Data,-0.011946088659242671,-0.03064182655513143,0.04622616463567202,0.0055406892176768415,0.03479829174631111,0.07390301751093317,0.10407052542257751,0.13561893797560234,0.06561339291871318,0.1255928490246786,0.07709143553858502,0.0657817789593717,0.0454728628237348,0.07143558741429257,0.03489959417896867,0.0533815593512986,0.08022143401486916,0.01534216661350953,0.04519926077502647,0.08173285589866974,0.046617351500539216,0.04418789179076811,0.06126233617593999,0.04452680299215195,0.031497823866519455,0.10696119594152094,0.07520828149708221,0.06658868351419861,0.08307747314827608,0.05707063328670434,0.07109185572630486,0.02298054686366718,0.029810130580730544,0.04733338948945141,0.03495585275296039,0.037493453372043545,0.05012734423991247,No Data,No Data,No Data
JU,-0.1367755272275254,-0.048753698475016406,-0.15892538036414083,0.011737890834512108,0.0012124333429203535,0.010650702545771365,-0.049530648661958776,0.02213638166547059,0.01601072620938574,0.011290515972768558,0.02673120291309065,0.028648272116597793,0.03260350055882518,0.030379272009384835,0.025772351335182256,0.02487294624481792,0.08248325796671355,0.10292988100332162,No Data,No Data,0.11758208779194392,0.10045561957146479,0.08047236895982691,0.017483525879438085,0.037389568165290626,0.12109156065408087,0.11992929347156325,0.08964336404967492,0.09594990858635595,0.061015702533529434,0.06325123683055835,0.053552781693413876,0.06131441606877691,0.05749827549267389,0.05170483308734203,0.04065297297750603,0.03957561513167889,0.027596314283912078,0.03319833147093313,0.07196213773599641,0.04640475441040241,0.050041550846031506,0.0191477565174894,0.04223003318227026,0.050294579377857876,0.0418662752762426,0.05855290592595366,0.07150136815655014,0.05668818467317483,0.04730435350946105,0.037506761255967865,0.04104677130324511,0.05166656500530117,0.03906608983944661,0.03109807775278957,0.037909439327370065,0.03522496127351529,No Data,No Data,No Data
LU,-0.034291484449913166,-0.059724086686132154,-0.07362879469796961,-0.01905850789595485,-0.028795974703258172,-0.013650170352946687,0.011826374133449852,0.005898747611565791,-0.016578409348026818,-0.004748961362585068,-0.002142732208078899,-0.012774540960157035,-0.013468846153491372,-0.010500561161532522,0.010312513480630598,0.0030350725902793248,-0.021677927385529726,-0.012157544379325924,No Data,No Data,-0.0014656511763426817,-0.004089564380310322,-0.0013282648147339333,-0.013642554430523628,-0.0013148748158913952,-0.022397414263683937,-0.030360761412132207,-0.016851414146240834,-0.022189708064539952,-0.007607564500717684,-0.004060229292404668,-0.021122535411959395,-0.026806503179841748,-0.028330774999216088,-0.023341400323988237,-0.037270703627770664,-0.03336055253708273,-0.014527670180774709,-0.013367141790883646,-0.03644468981269453,-0.038352009913145094,-0.025034686043221406,-0.0004173438645180256,-0.012983344724373689,-0.012752842260829905,-0.009688236966476627,-0.011804932170950432,-0.007894695636602323,-0.002781604416507344,0.011206718996696364,-0.03909514853557673,0.0265697150945671,0.02122218993417964,-0.009509068037441505,0.004371403882384869,0.0018467348183116333,-0.04974168784631646,No Data,No Data,No Data
